Id;Favor;Against;FavorEN;AgainstEN
0;Esta é a melhor decisão a ser tomada. ;Acredito que a outra decisão é melhor.;This is the best decision to be taken.;I believe that the other option is better.
1;Estás a fazer um ótimo trabalho como líder.;A tua liderança não está sendo boa.;You are doing a great job as leader.;Your leadership is not being good.
2;Eu gosto desta decisão.;Eu não gosto desta decisão.;I like this decision.;I do not like this decision.
3;Posso dizer que estás trabalhando forte nisto.;Acredito que não estás se esforçando o suficiente.;I can say that you are working hard on this.;I believe that you are not putting enough effort.
4;Mantenhas essas decisões.;Tens que mudar de decisão.;Keep these decisions.;You have to change decisions.
5;Estou de acordo com esta decisão.;Não estou de acordo com esta decisão.;I agree with this decision.;I disagree with this decision.
6;Entendo seu ponto de vista e concordo.;Não entendo esta intenção e não concordo.;I understand your point of view and agree with it.;I do not understand with this intention and disagree with it.
7;Isto definitivamente irá ajudar a população;Esta decisão não irá ajudar a população.;Definitely, this will help people.;This decision will not help people.
8;Eu completamente concordo contigo.;Não concordo de forma nenhuma contigo.;I completely agree with you.;Definitely, I disagree with you.
9;Explendido. Com esta decisão vais salvar a população.;Errado. Com esta decisão a população irá ficar prejudicada.;Wonderful. With this decision, you will save the people.;Wrong. With this decision, people will suffer.
10;Brilhante. Não espero outra decisão.;Horrível. A outra decisão é melhor.;Brilliant. I did not expect another decision.;Terrible. The other decision is better.
11;Pessoalmente, esta é a minha decisão favorita.;Pessoalmente, prefiro a outra decisão.;Personally, this is my favourite decision.;Personally, I prefer other decision.
12;Esta decisão está completamente correta.;Esta decisão está completamente incorreta.;This decision is correct.;This decision is incorrect.
13;Eu recomendo fortemente a confirmar esta decisão.;Recomendo escolher a outra decisão.;I strongly advise confirming this decision.;I advise to choose the other option.
